#   ix    iy    iz      toten(eV)
     8    20     0     -20038.884313024060
     9    20     0     -20038.874947409142
    10    20     0     -20038.864134556647
    11    20     0     -20038.851692558455
    12    20     0     -20038.839379678291
    13    20     0     -20038.829908619253
    14    20     0     -20038.824629746377
    15    20     0     -20038.822660186244
    16    20     0     -20038.822658825673
    17    20     0     -20038.824609065727
    18    20     0     -20038.829914197588
    19    20     0     -20038.839369201909
    20    20     0     -20038.851664258615
    21    20     0     -20038.864116597128
    22    20     0     -20038.874935436132
    23    20     0     -20038.884296969340
    24    20     0     -20038.892576713890
    25    20     0     -20038.898850843219
    26    20     0     -20038.901905865550
    27    20     0     -20038.901688174461
    28    20     0     -20038.899216972419
    29    20     0     -20038.895767248927
    30    20     0     -20038.893017810460
    31    20     0     -20038.892856855113
     0    21     0     -20038.930109378940
     1    21     0     -20038.923611572020
     2    21     0     -20038.911253929124
     3    21     0     -20038.899924060290
     4    21     0     -20038.896489575178
     5    21     0     -20038.903058539876
     6    21     0     -20038.914846920565
     7    21     0     -20038.923482862163
     8    21     0     -20038.922061203288
     9    21     0     -20038.908337684861
    10    21     0     -20038.885376853206
    11    21     0     -20038.860760752919
    12    21     0     -20038.843209000624
    13    21     0     -20038.837341409406
    14    21     0     -20038.840488678339
    15    21     0     -20038.845167404092
    16    21     0     -20038.845162778154
    17    21     0     -20038.840473712076
    18    21     0     -20038.837320728755
    19    21     0     -20038.843195803100
    20    21     0     -20038.860747011171
    21    21     0     -20038.885374268124
    22    21     0     -20038.908334555555
    23    21     0     -20038.922062699912
    24    21     0     -20038.923470072808
    25    21     0     -20038.914842974915
    26    21     0     -20038.903060988898
    27    21     0     -20038.896496378024
    28    21     0     -20038.899920250697
    29    21     0     -20038.911256378153
    30    21     0     -20038.923603408603
    31    21     0     -20038.930099038615
     0    22     0     -20038.948288489748
     1    22     0     -20038.936118333309
     2    22     0     -20038.911311209093
     3    22     0     -20038.887961798839
     4    22     0     -20038.880064238208
     5    22     0     -20038.892319974464
     6    22     0     -20038.916614844329
     7    22     0     -20038.937420126029
     8    22     0     -20038.941489452784
     9    22     0     -20038.924517166954
    10    22     0     -20038.892983252001
    11    22     0     -20038.861160080018
    12    22     0     -20038.843447644482
    13    22     0     -20038.845284685165
    14    22     0     -20038.859588622458
    15    22     0     -20038.872159602619
    16    22     0     -20038.872158378108
    17    22     0     -20038.859584948921
    18    22     0     -20038.845293392809
    19    22     0     -20038.843442066143
    20    22     0     -20038.861147698834
    21    22     0     -20038.892980530865
    22    22     0     -20038.924510228047
    23    22     0     -20038.941485098960
