#   ix    iy    iz      toten(eV)
    20    16     0     -20041.072509710128
    21    16     0     -20041.031426911570
    22    16     0     -20040.995702851309
    23    16     0     -20040.987371133011
    24    16     0     -20041.014791366648
    25    16     0     -20041.064634462837
    26    16     0     -20041.111161987665
    27    16     0     -20041.132565239572
    28    16     0     -20041.121494014962
    29    16     0     -20041.087194198659
    30    16     0     -20041.051196255794
    31    16     0     -20041.036325097153
     0    17     0     -20041.005453643400
     1    17     0     -20041.020502628449
     2    17     0     -20041.058639386272
     3    17     0     -20041.094999648747
     4    17     0     -20041.106075363230
     5    17     0     -20041.081622803380
     6    17     0     -20041.029231088760
     7    17     0     -20040.972216023558
     8    17     0     -20040.938455809039
     9    17     0     -20040.942723914970
    10    17     0     -20040.975709013153
    11    17     0     -20041.013244671452
    12    17     0     -20041.035701684294
    13    17     0     -20041.038857388758
    14    17     0     -20041.030913432711
    15    17     0     -20041.023288938344
    16    17     0     -20041.023277509561
    17    17     0     -20041.030892752056
    18    17     0     -20041.038847048429
    19    17     0     -20041.035693656933
    20    17     0     -20041.013246168077
    21    17     0     -20040.975707380469
    22    17     0     -20040.942715887610
    23    17     0     -20040.938487782420
    24    17     0     -20040.972228812909
    25    17     0     -20041.029243197823
    26    17     0     -20041.081645252776
    27    17     0     -20041.106085023272
    28    17     0     -20041.094991077160
    29    17     0     -20041.058628773833
    30    17     0     -20041.020511063980
    31    17     0     -20041.005460854416
     0    18     0     -20040.997924797051
     1    18     0     -20041.009648550702
     2    18     0     -20041.041284100182
     3    18     0     -20041.071472956311
     4    18     0     -20041.079868757424
     5    18     0     -20041.057438275682
     6    18     0     -20041.010395367197
     7    18     0     -20040.958476178297
     8    18     0     -20040.925285362038
     9    18     0     -20040.923243419616
    10    18     0     -20040.943412907269
    11    18     0     -20040.964356014636
    12    18     0     -20040.970280341597
    13    18     0     -20040.960057704069
    14    18     0     -20040.943407328938
    15    18     0     -20040.931713643866
    16    18     0     -20040.931724528422
    17    18     0     -20040.943393315072
    18    18     0     -20040.960078112606
    19    18     0     -20040.970294763629
    20    18     0     -20040.964365402564
    21    18     0     -20040.943425968737
    22    18     0     -20040.923267229577
    23    18     0     -20040.925306450863
    24    18     0     -20040.958483525374
    25    18     0     -20041.010425299723
    26    18     0     -20041.057440180481
    27    18     0     -20041.079879097750
    28    18     0     -20041.071481255782
    29    18     0     -20041.041339883523
    30    18     0     -20041.009644332938
    31    18     0     -20040.997923300427
     0    19     0     -20041.023933984256
     1    19     0     -20041.029272450065
     2    19     0     -20041.046906516807
     3    19     0     -20041.063614988245
     4    19     0     -20041.067080494344
     5    19     0     -20041.051655039762
     6    19     0     -20041.020587119805
     7    19     0     -20040.985227692116
     8    19     0     -20040.959483815932
     9    19     0     -20040.950010307864
    10    19     0     -20040.949882686466
    11    19     0     -20040.945173483960
    12    19     0     -20040.928083372830
    13    19     0     -20040.902189153734
    14    19     0     -20040.877582577436
