#   ix    iy    iz      toten(eV)
    16    16     1     -15341.691165218106
    17    16     1     -15341.690761129019
     0    17     1     -15341.688362445324
     1    17     1     -15341.688623402517
     2    17     1     -15341.687844340528
     3    17     1     -15341.686596698468
     4    17     1     -15341.685569876809
     5    17     1     -15341.685478990777
     6    17     1     -15341.686420640799
     7    17     1     -15341.687646241637
     8    17     1     -15341.688517414166
     9    17     1     -15341.688513060344
    10    17     1     -15341.687248683284
    11    17     1     -15341.686383361201
    12    17     1     -15341.685502800743
    13    17     1     -15341.685637769217
    14    17     1     -15341.686662686081
    15    17     1     -15341.687867878378
    16    17     1     -15341.688553605311
    17    17     1     -15341.688383806262
     0     0     2     -15341.603858709846
     1     0     2     -15341.604166062456
     2     0     2     -15341.603202099099
     3     0     2     -15341.601380432845
     4     0     2     -15341.599975100802
     5     0     2     -15341.599778090367
     6     0     2     -15341.601024507914
     7     0     2     -15341.602753927567
     8     0     2     -15341.604060074107
     9     0     2     -15341.604132728507
    10     0     2     -15341.602822908430
    11     0     2     -15341.601026140597
    12     0     2     -15341.599815642079
    13     0     2     -15341.599955916778
    14     0     2     -15341.601371589146
    15     0     2     -15341.603120328882
    16     0     2     -15341.604179668147
    17     0     2     -15341.603899799042
     0     1     2     -15341.604891381954
     1     1     2     -15341.605160366509
     2     1     2     -15341.604227424132
     3     1     2     -15341.602423445282
     4     1     2     -15341.601025868482
     5     1     2     -15341.600893757204
     6     1     2     -15341.602107112914
     7     1     2     -15341.603816396144
     8     1     2     -15341.605057507468
     9     1     2     -15341.605073562187
    10     1     2     -15341.603871091031
    11     1     2     -15341.602090922141
    12     1     2     -15341.600867362156
    13     1     2     -15341.601076617719
    14     1     2     -15341.602431744752
    15     1     2     -15341.604154225501
    16     1     2     -15341.605183632242
    17     1     2     -15341.604786754177
     0     2     2     -15341.605131930612
     1     2     2     -15341.605307716167
     2     2     2     -15341.604566205891
     3     2     2     -15341.603204139952
     4     2     2     -15341.602085888035
     5     2     2     -15341.602051737744
     6     2     2     -15341.602962774954
     7     2     2     -15341.604280214220
     8     2     2     -15341.605250164084
     9     2     2     -15341.605236694448
    10     2     2     -15341.604334500937
    11     2     2     -15341.602968761461
    12     2     2     -15341.602071874171
    13     2     2     -15341.602137725724
    14     2     2     -15341.603223596092
    15     2     2     -15341.604571648166
    16     2     2     -15341.605248123229
    17     2     2     -15341.605144856019
     0     3     2     -15341.604212185757
     1     3     2     -15341.604324432723
     2     3     2     -15341.603884968836
     3     3     2     -15341.603294617811
     4     3     2     -15341.602709164838
     5     3     2     -15341.602623040799
     6     3     2     -15341.603128900468
     7     3     2     -15341.603860750702
     8     3     2     -15341.604256132145
     9     3     2     -15341.604288649751
    10     3     2     -15341.603846872895
    11     3     2     -15341.603143730674
    12     3     2     -15341.602627258564
    13     3     2     -15341.602662361252
    14     3     2     -15341.603249310852
    15     3     2     -15341.603949323764
    16     3     2     -15341.604335317279
    17     3     2     -15341.604224158767
     0     4     2     -15341.602413377066
     1     4     2     -15341.602325348231
     2     4     2     -15341.602487255981
     3     4     2     -15341.602627666734
     4     4     2     -15341.602655286290
     5     4     2     -15341.602575420871
     6     4     2     -15341.602615965838
     7     4     2     -15341.602540318183
     8     4     2     -15341.602434874063
     9     4     2     -15341.602364260514
    10     4     2     -15341.602540046069
    11     4     2     -15341.602626442223
    12     4     2     -15341.602655966577
    13     4     2     -15341.602630523930
    14     4     2     -15341.602582767946
    15     4     2     -15341.602525624035
    16     4     2     -15341.602388342593
    17     4     2     -15341.602466167158
     0     5     2     -15341.600678787252
     1     5     2     -15341.600537560156
     2     5     2     -15341.601088182557
     3     5     2     -15341.602038540223
     4     5     2     -15341.602656238691
     5     5     2     -15341.602771751022
     6     5     2     -15341.602112283079
     7     5     2     -15341.601272403643
     8     5     2     -15341.600586540651
     9     5     2     -15341.600581642604
    10     5     2     -15341.601231042336
    11     5     2     -15341.602168882764
    12     5     2     -15341.602719096991
    13     5     2     -15341.602646986819
    14     5     2     -15341.601937994148
    15     5     2     -15341.601107094471
    16     5     2     -15341.600502321409
    17     5     2     -15341.600667902696
     0     6     2     -15341.599834145822
     1     6     2     -15341.599523255732
     2     6     2     -15341.600373883668
     3     6     2     -15341.602018539854
     4     6     2     -15341.603169037266
     5     6     2     -15341.603282508742
     6     6     2     -15341.602307932946
     7     6     2     -15341.600820558573
     8     6     2     -15341.599688428849
     9     6     2     -15341.599722715195
    10     6     2     -15341.600768720882
    11     6     2     -15341.602263986559
    12     6     2     -15341.603317203262
    13     6     2     -15341.603190806372
    14     6     2     -15341.601989695784
    15     6     2     -15341.600548444711
    16     6     2     -15341.599550467119
    17     6     2     -15341.599779450935
     0     7     2     -15341.600240956046
     1     7     2     -15341.599927072706
     2     7     2     -15341.600990629739
     3     7     2     -15341.602817874324
     4     7     2     -15341.604220893398
     5     7     2     -15341.604373957447
     6     7     2     -15341.603170397831
     7     7     2     -15341.601413630737
     8     7     2     -15341.600056462847
     9     7     2     -15341.600046802805
    10     7     2     -15341.601377303537
    11     7     2     -15341.603173799256
    12     7     2     -15341.604340079271
    13     7     2     -15341.604213274210
    14     7     2     -15341.602795560988
    15     7     2     -15341.601038793890
    16     7     2     -15341.599962719623
    17     7     2     -15341.600199594741
     0     8     2     -15341.601360024304
     1     8     2     -15341.601073216294
     2     8     2     -15341.602092826939
     3     8     2     -15341.603823335045
     4     8     2     -15341.605140366142
     5     8     2     -15341.605259007783
     6     8     2     -15341.604110007000
     7     8     2     -15341.602389839220
     8     8     2     -15341.601214987619
     9     8     2     -15341.601154442284
    10     8     2     -15341.602418819344
    11     8     2     -15341.604118306474
    12     8     2     -15341.605190843262
    13     8     2     -15341.605099549060
    14     8     2     -15341.603794899147
    15     8     2     -15341.602136229099
    16     8     2     -15341.601070223043
    17     8     2     -15341.601349820037
     0     9     2     -15341.602421812597
     1     9     2     -15341.602185753822
     2     9     2     -15341.602944679385
     3     9     2     -15341.604177083069
     4     9     2     -15341.605210435459
     5     9     2     -15341.605312069989
     6     9     2     -15341.604433686440
     7     9     2     -15341.603176384338
     8     9     2     -15341.602298272905
     9     9     2     -15341.602269292778
    10     9     2     -15341.603157472424
    11     9     2     -15341.604454639206
    12     9     2     -15341.605284178317
    13     9     2     -15341.605140910366
    14     9     2     -15341.604238172627
    15     9     2     -15341.602946992352
    16     9     2     -15341.602217046915
    17     9     2     -15341.602395281498
     0    10     2     -15341.602724539269
     1    10     2     -15341.602665218446
     2    10     2     -15341.602869712015
     3    10     2     -15341.603617344852
     4    10     2     -15341.604033270891
     5    10     2     -15341.604091639316
     6    10     2     -15341.603631358716
     7    10     2     -15341.603053116758
     8    10     2     -15341.602726988292
     9    10     2     -15341.602696511540
    10    10     2     -15341.603104546277
    11    10     2     -15341.603698570840
    12    10     2     -15341.604089462404
    13    10     2     -15341.604031910319
    14    10     2     -15341.603565371102
    15    10     2     -15341.602999238214
    16    10     2     -15341.602659231943
    17    10     2     -15341.602782635580
     0    11     2     -15341.602679504425
     1    11     2     -15341.602725627725
     2    11     2     -15341.602563583920
     3    11     2     -15341.602340178439
     4    11     2     -15341.602157045809
     5    11     2     -15341.602179087031
     6    11     2     -15341.602282898470
     7    11     2     -15341.602561815180
     8    11     2     -15341.602694470686
     9    11     2     -15341.602729437320
    10    11     2     -15341.602604128884
    11    11     2     -15341.602275415340
    12    11     2     -15341.602162352028
    13    11     2     -15341.602190787926
    14    11     2     -15341.602337865470
    15    11     2     -15341.602578278067
    16    11     2     -15341.602713654715
    17    11     2     -15341.602676375114
     0    12     2     -15341.602681273165
     1    12     2     -15341.602868351447
     2    12     2     -15341.602114187877
     3    12     2     -15341.601214715503
     4    12     2     -15341.600433884774
     5    12     2     -15341.600349121307
