#   ix    iy    iz      toten(eV)
    31    14     0     -20040.059046119644
     0    15     0     -20040.051743672029
     1    15     0     -20040.057372075160
     2    15     0     -20040.073201346710
     3    15     0     -20040.089898661481
     4    15     0     -20040.098670660009
     5    15     0     -20040.095932378212
     6    15     0     -20040.084606318971
     7    15     0     -20040.072156565537
     8    15     0     -20040.064645678704
     9    15     0     -20040.057771266198
    10    15     0     -20040.029245842110
    11    15     0     -20039.940016033073
    12    15     0     -20039.750110217483
    13    15     0     -20039.453013309201
    14    15     0     -20039.116944933816
    15    15     0     -20038.884749902863
    16    15     0     -20038.884656703867
    17    15     0     -20039.116930375723
    18    15     0     -20039.453026778836
    19    15     0     -20039.750093346429
    20    15     0     -20039.940010046565
    21    15     0     -20040.029254821868
    22    15     0     -20040.057794123761
    23    15     0     -20040.064656291146
    24    15     0     -20040.072149218464
    25    15     0     -20040.084606455028
    26    15     0     -20040.095929384959
    27    15     0     -20040.098684129644
    28    15     0     -20040.089904511929
    29    15     0     -20040.073217673544
    30    15     0     -20040.057391123129
    31    15     0     -20040.051754828695
     0    16     0     -20040.034058719993
     1    16     0     -20040.043709918413
     2    16     0     -20040.068584118693
     3    16     0     -20040.094772492870
     4    16     0     -20040.109058742764
     5    16     0     -20040.105975828759
     6    16     0     -20040.089988323001
     7    16     0     -20040.072513851035
     8    16     0     -20040.064115056673
     9    16     0     -20040.064217779654
    10    16     0     -20040.053909698374
    11    16     0     -20040.000201360828
    12    16     0     -20039.872448392285
    13    16     0     -20039.668587217260
    14    16     0     -20039.439679865995
    15    16     0     -20039.283235756022
    16    16     0     -20039.283236572359
    17    16     0     -20039.439701226933
    18    16     0     -20039.668553475141
    19    16     0     -20039.872441181265
    20    16     0     -20040.000177686925
    21    16     0     -20040.053887929265
    22    16     0     -20040.064206214814
    23    16     0     -20040.064122675860
    24    16     0     -20040.072533987463
    25    16     0     -20040.089999071497
    26    16     0     -20040.105981951325
    27    16     0     -20040.109083913299
    28    16     0     -20040.094773309214
    29    16     0     -20040.068586567719
    30    16     0     -20040.043707061217
    31    16     0     -20040.034067699751
     0    17     0     -20040.015811580717
     1    17     0     -20040.027048114498
     2    17     0     -20040.055365507538
     3    17     0     -20040.085390142955
     4    17     0     -20040.102488961726
     5    17     0     -20040.100451101014
     6    17     0     -20040.083842087188
     7    17     0     -20040.064995481076
     8    17     0     -20040.056193141852
     9    17     0     -20040.059832120536
    10    17     0     -20040.062426318043
    11    17     0     -20040.039641407999
    12    17     0     -20039.970605576862
    13    17     0     -20039.855023989268
    14    17     0     -20039.725099143932
    15    17     0     -20039.637021464987
    16    17     0     -20039.637033301940
    17    17     0     -20039.725095334339
    18    17     0     -20039.855047663175
    19    17     0     -20039.970614964790
    20    17     0     -20040.039640455598
    21    17     0     -20040.062436930482
    22    17     0     -20040.059829399393
    23    17     0     -20040.056223618605
    24    17     0     -20040.065024461201
    25    17     0     -20040.083854196255
    26    17     0     -20040.100443345767
    27    17     0     -20040.102491002581
    28    17     0     -20040.085391911693
    29    17     0     -20040.055378705063
    30    17     0     -20040.027054373120
    31    17     0     -20040.015798791370
     0    18     0     -20040.011615448904
     1    18     0     -20040.021810330818
     2    18     0     -20040.047192023452
     3    18     0     -20040.074413886079
     4    18     0     -20040.090704254573
     5    18     0     -20040.090451732907
     6    18     0     -20040.077301558391
     7    18     0     -20040.061598003445
     8    18     0     -20040.054323039334
     9    18     0     -20040.059071834403
    10    18     0     -20040.067749137306
    11    18     0     -20040.064558738326
    12    18     0     -20040.036479580973
    13    18     0     -20039.983211387596
    14    18     0     -20039.921560318522
    15    18     0     -20039.879634783330
    16    18     0     -20039.879665124030
    17    18     0     -20039.921551338761
    18    18     0     -20039.983192475687
    19    18     0     -20040.036493730891
    20    18     0     -20040.064543908120
    21    18     0     -20040.067729272992
    22    18     0     -20040.059073331031
    23    18     0     -20040.054316644655
    24    18     0     -20040.061606711090
    25    18     0     -20040.077288088756
    26    18     0     -20040.090450916567
    27    18     0     -20040.090697451727
    28    18     0     -20040.074417015392
    29    18     0     -20040.047192159509
    30    18     0     -20040.021817269720
    31    18     0     -20040.011603339837
     0    19     0     -20040.028711546540
     1    19     0     -20040.035552216930
     2    19     0     -20040.052268851785
     3    19     0     -20040.070640891321
     4    19     0     -20040.082659344287
     5    19     0     -20040.084605910801
     6    19     0     -20040.078253684795
     7    19     0     -20040.069651213205
     8    19     0     -20040.065712501102
     9    19     0     -20040.069332703926
    10    19     0     -20040.076854883486
    11    19     0     -20040.080429235128
    12    19     0     -20040.073565435057
    13    19     0     -20040.055597076436
    14    19     0     -20040.033366870499
    15    19     0     -20040.017958695153
    16    19     0     -20040.017947946653
    17    19     0     -20040.033352720580
    18    19     0     -20040.055609593674
    19    19     0     -20040.073566251402
    20    19     0     -20040.080439983623
    21    19     0     -20040.076848896977
    22    19     0     -20040.069334336611
    23    19     0     -20040.065723521711
    24    19     0     -20040.069678288535
    25    19     0     -20040.078261031871
    26    19     0     -20040.084593937790
    27    19     0     -20040.082668596155
    28    19     0     -20040.070635449047
    29    19     0     -20040.052279056054
    30    19     0     -20040.035550856359
    31    19     0     -20040.028708009060
     0    20     0     -20040.060039743410
     1    20     0     -20040.062034610139
     2    20     0     -20040.066672246696
     3    20     0     -20040.072583920359
     4    20     0     -20040.078314366187
     5    20     0     -20040.082786285402
     6    20     0     -20040.085235038052
     7    20     0     -20040.085852328350
     8    20     0     -20040.085749061138
     9    20     0     -20040.085925254862
    10    20     0     -20040.086433155386
    11    20     0     -20040.086754521857
    12    20     0     -20040.086516014060
    13    20     0     -20040.085767973051
    14    20     0     -20040.084749178750
    15    20     0     -20040.083987395989
    16    20     0     -20040.083986035421
    17    20     0     -20040.084734484601
    18    20     0     -20040.085766476423
    19    20     0     -20040.086517102514
    20    20     0     -20040.086744317588
    21    20     0     -20040.086441726973
    22    20     0     -20040.085924166407
    23    20     0     -20040.085744435200
    24    20     0     -20040.085860627820
    25    20     0     -20040.085235310162
    26    20     0     -20040.082772407593
    27    20     0     -20040.078323345944
    28    20     0     -20040.072582151617
    29    20     0     -20040.066665988077
    30    20     0     -20040.062034882252
    31    20     0     -20040.060037294388
     0    21     0     -20040.089254431914
     1    21     0     -20040.086088795295
     2    21     0     -20040.078172458809
     3    21     0     -20040.071198996851
     4    21     0     -20040.070579393589
     5    21     0     -20040.077882793601
     6    21     0     -20040.089549403339
     7    21     0     -20040.099325910189
     8    21     0     -20040.102151948708
     9    21     0     -20040.096949403771
    10    21     0     -20040.087072350849
    11    21     0     -20040.078801858173
    12    21     0     -20040.077901841571
    13    21     0     -20040.085604432617
    14    21     0     -20040.097418800186
    15    21     0     -20040.105986985429
    16    21     0     -20040.106001679578
    17    21     0     -20040.097389411887
    18    21     0     -20040.085600214854
    19    21     0     -20040.077899664662
    20    21     0     -20040.078798184633
    21    21     0     -20040.087070173940
    22    21     0     -20040.096952397023
    23    21     0     -20040.102150316023
    24    21     0     -20040.099322508770
    25    21     0     -20040.089556478299
    26    21     0     -20040.077883609942
    27    21     0     -20040.070580890213
    28    21     0     -20040.071196003602
    29    21     0     -20040.078172186692
    30    21     0     -20040.086080359764
    31    21     0     -20040.089253071343
     0    22     0     -20040.102529914864
     1    22     0     -20040.094979299407
     2    22     0     -20040.076633654917
     3    22     0     -20040.059081902615
     4    22     0     -20040.053500575181
     5    22     0     -20040.063645796319
     6    22     0     -20040.083234320875
     7    22     0     -20040.100205246137
     8    22     0     -20040.104309675582
     9    22     0     -20040.092864294413
    10    22     0     -20040.072157653991
    11    22     0     -20040.054529165580
    12    22     0     -20040.051154273402
    13    22     0     -20040.064489621403
    14    22     0     -20040.085957092186
    15    22     0     -20040.101724866003
    16    22     0     -20040.101736430843
    17    22     0     -20040.085935459134
